Incident_no,Day,Date,Time,Duration,Location,Station,Result_code,Result_Description
F3574469,Fri,2022-10-07,23:00:00,00:04:59,Thorndon Wellington City,Thorndon,7100, False Alarm (Stru)
F3574485,Sat,2022-10-08,00:30:00,00:13:04,Johnsonville Wellington City,Johnsonville,7100, False Alarm (Sprnklr)
F3574499,Sat,2022-10-08,01:30:00,00:16:54,Te Aro Wellington City,Wellington City,7100, False Alarm (Stru)
F3574512,Sat,2022-10-08,03:00:00,00:38:08,Te Aro Wellington City,Wellington City,1100, Structure Fire (Stru)
F3574517,Sat,2022-10-08,03:00:00,00:10:56,Mount Victoria Wellington City,Trentham,7100, False Alarm (Stru)
F3574538,Sat,2022-10-08,05:30:00,00:15:46,Rongotai Wellington City,Kilbirnie,7100, False Alarm (Sprnklr)
F3574642,Sat,2022-10-08,10:30:00,00:15:38,Te Aro Wellington City,Wellington City,7100, False Alarm (Stru)
F3574751,Sat,2022-10-08,12:30:00,00:07:25,Te Aro Wellington City,Wellington City,7100, False Alarm (Stru)
F3574837,Sat,2022-10-08,16:00:00,00:00:00,Wellington Central Wellington City,Wellington City,3100," Rescue,Emergency,Medical Call (Med)"
F3574872,Sat,2022-10-08,17:30:00,00:00:00,Tawa Wellington City,Porirua,3100," Rescue,Emergency,Medical Call (Resc)"
F3574921,Sat,2022-10-08,19:00:00,00:00:00,Berhampore Wellington City,Trentham,1500, Miscellaneous Fire (Stru)
F3574930,Sat,2022-10-08,20:00:00,00:07:20,Miramar Wellington City,Kilbirnie,7100, False Alarm (Min)
F3574996,Sat,2022-10-08,23:00:00,00:09:54,Wellington Central Wellington City,Thorndon,7100, False Alarm (Stru)
F3575002,Sat,2022-10-08,23:30:00,00:15:39,Wellington Central Wellington City,Wellington City,7100, False Alarm (Sprnklr)
F3575004,Sat,2022-10-08,23:30:00,00:00:00,Churton Park Wellington City,Johnsonville,3100," Rescue,Emergency,Medical Call (Med)"
F3575011,Sun,2022-10-09,00:00:00,00:00:00,Northland Wellington City,Karori,1500, Miscellaneous Fire (Min)
F3575013,Sun,2022-10-09,00:00:00,00:00:00,Brooklyn Wellington City,Brooklyn,3100," Rescue,Emergency,Medical Call (Resc)"
F3575029,Sun,2022-10-09,01:30:00,00:00:00,Maupuia Wellington City,Kilbirnie,3100," Rescue,Emergency,Medical Call (Min)"
F3575066,Sun,2022-10-09,04:00:00,00:15:13,Te Aro Wellington City,Wellington City,7100, False Alarm (Stru)
F3575126,Sun,2022-10-09,08:30:00,00:09:27,Mount Cook Wellington City,Newtown,7100, False Alarm (Sprnklr)
F3575145,Sun,2022-10-09,09:00:00,00:14:10,Newtown Wellington City,Newtown,7100, False Alarm (Stru)
F3575233,Sun,2022-10-09,12:00:00,00:00:00,Tawa Wellington City,Tawa,3100," Rescue,Emergency,Medical Call (Min)"
F3575446,Sun,2022-10-09,21:30:00,00:00:00,Te Aro Wellington City,Wellington City,3100," Rescue,Emergency,Medical Call (Min)"
